RefNo,Deadline,City,Country,GeneralDisciplines,FieldsOfStudy,RequiredKnowledgeAndExperiences,OtherRequirements,CompletedYearsOfStudy,LanguageRequirements,WorkWeeksMin,WorkWeeksMax,From,To,AlternativeFrom,AlternativeTo,CompanyClosedFrom,CompanyClosedTo,WorkOfferedDescription,GrossPay,WorkingHours,Employer,Workplace,Website,Lodgingby,LivingCost,EstCostofLodging,AdditionalInfo,OfferType,Longitude,Latitude
BD-2022-FASHION3,2022-09-27,DHAKA,Bangladesh,['OTHER'],[''],"['Fashion design skills', 'Critical thinking', 'Critical analysis', 'Project management skills']","['Timing &; excellent communication skills', 'Excellent presentation skills with good in power point']",2,"English Excellent (C1, C2)      ",4,4,2022-10-01,2022-12-22,,,,,"FASHION DESIGN IN THE 21ST CENTURY

What would you do?
- Luxury Segment of the Fashion Industry,
- The Internet, the World Wide Web, and E-Commerce,
- The Origin of Luxury Fashion, Creativity Blends Intellect and Emotion
- The Haute Couture, Qualitative Research and Design Strategy
- Technology created new environments for social and business
interaction,
- A global competitive environment, Price-Point and Creativity
- Technology, Mystery and Surprise, Creativity,
- Unifying Metatheory for Clothing and Textiles
- Paper submission &; Modelling,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 6-8 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter. Only outstanding work will be
considered as publication

https://www.auko-texgroup.com/",0 BDT Monthly,"8.0 daily, 40.0 weekly",সেলাই - SELAI TEXTILE Department: FASHION &; DESIGN,DHAKA,https://www.facebook.com/%E0%A6%B8%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%87-Selai-105845148421596,N.A.,0 BDT Monthly,0 BDT Monthly,COMPANY&#39;S WEBSITE: https://www.auko-texgroup.com/,FCFS,90.389015,23.7644025
BD-2022-FLUID1,2022-09-30,Dhaka,Bangladesh,['14D-MECHANICAL ENGINEERING'],['14.1901-Mechanical Engineering.'],"['CAD design skills Critical thinking', 'SOLID WORK', 'Critical analysis', 'Project management skills']","['Timing &; excellent communication skills', 'Excellent presentation skills with good in power point', 'Creativity']",2,"English Good (B1, B2)      ",4,4,2022-10-01,2022-12-31,,,,,"Working fluid in the surrounding air.

- Working Fluids
- Basic properties of working fluids
- Performance analysis and working fluid
- Overview of working fluids and sustainable heating, cooling
- Impact of Working Fluids and Performance
- Execution of design capability in CAD,
- Paper submission,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 1.5 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter.
Only outstanding work will be considered as publication.",0 BDT Monthly,"1.5 daily, 7.5 weekly",COLLEGE OF AVIATION TECHNOLOGY/ NATIONAL UNIVERSITY BANGLADESH Department: AERONAUTICS,DHAKA,www.nu.ac.bd,N/A,0 BDT Monthly,0 BDT Monthly,,FCFS,90.389015,23.7644025
BD-2022-FLUID2,2022-10-13,Dhaka,Bangladesh,['14D-MECHANICAL ENGINEERING'],['14.1901-Mechanical Engineering.'],"['CAD design skills Critical thinking', 'SOLID WORK', 'Critical analysis', 'Project management skills']","['Timing &; excellent communication skills', 'Excellent presentation skills with good in power point', 'Creativity']",2,"English Good (B1, B2)      ",4,4,2022-11-01,2022-12-31,,,,,"Working fluid in the surrounding air.

- Working Fluids
- Basic properties of working fluids
- Performance analysis and working fluid
- Overview of working fluids and sustainable heating, cooling
- Impact of Working Fluids and Performance
- Execution of design capability in CAD,
- Paper submission,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 1.5 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter.
Only outstanding work will be considered as publication.",0 BDT Monthly,"1.5 daily, 7.5 weekly",COLLEGE OF AVIATION TECHNOLOGY/ NATIONAL UNIVERSITY BANGLADESH Department: AERONAUTICS,DHAKA,www.nu.ac.bd,N/A,0 BDT Monthly,0 BDT Monthly,,FCFS,90.389015,23.7644025
BD-2022-TEXTILE2,2022-09-30,DHAKA,Bangladesh,['OTHER'],[''],"['Fashion design skills', 'Critical thinking', 'Critical analysis', 'Project management skills']","['Timing &; excellent communication skills', 'Excellent presentation skills with good in power point']",2,"English Excellent (C1, C2)      ",4,4,2022-10-01,2022-12-29,,,,,"FASHION DESIGN IN THE 21ST CENTURY

What would you do?
- Luxury Segment of the Fashion Industry,
- The Internet, the World Wide Web, and E-Commerce,
- The Origin of Luxury Fashion, Creativity Blends Intellect and Emotion
- The Haute Couture, Qualitative Research and Design Strategy
- Technology created new environments for social and business
interaction,
- A global competitive environment, Price-Point and Creativity
- Technology, Mystery and Surprise, Creativity,
- Unifying Metatheory for Clothing and Textiles
- Paper submission &; Modelling,
- Project Presentation.

How do we plan to work with you?
1. We need you to be able to devote at least 1.5 hours per day.
2. We will set up weekly online meetings to follow up on the progress work.
3. As they may exist time zone differences, we expect you to be flexible with meeting timings.

What to expect after completion?
After successful completion of the above mentioned tasks, student will be awarded a certificate and recommendation letter. Only outstanding work will be considered as publication.",0 BDT Monthly,"1.5 daily, 7.5 weekly",সেলাই - SELAI TEXTILE Department: FASHION &; DESIGN,BANGLADESH,https://www.facebook.com/%E0%A6%B8%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%87-Selai-105845148421596,N.A.,0 BDT Monthly,0 BDT Monthly,,FCFS,90.389015,23.7644025
BR-2023-051-SPA,2022-11-30,Marabá,Brazil,"['11-COMPUTER AND INFORMATION SCIENCES, 52-BUSINESS, MANAGEMENT, AND MARKETING']","['11.0104-Informatics., 52.0201-Business Administration and Management, General.']",['Basics computer knowledge'],[''],2,"English Good (B1, B2)      ",8,10,2023-03-06,2023-06-30,,,,,"The intern will be responsible to update the information of the university in the website and will be responsible for follow the international processes, write crafts, cover letters for the partner universities abroad.",1200 BRL Monthly,"6.0 daily, 30.0 weekly",Universidade Federal do Sul e Sudeste do Para - UNIFESSPA Department: International Relations,Maraba - PA,,IAESTE Brazil,1100 BRL Monthly,1000 BRL Monthly,"Please fill in the &quot;Additional Information Document&quot; and send it with the application.<br>This is a PRE-AC offer, if the student is accepted we will expect an offer in exchange.",COBE,-49.1007401,-5.3462821
CA-2023-000001,2022-09-30,Burlington,Canada,['OTHER'],[''],"['Must be in DVM (Doctor of Veterinary Medicine) program and must have completed at least 3 years of study including small animal anatomy, physiology, pathology and clinical medicine and surgery.']","['Language:', 'Excellent English is required.', 'Fair French is optional.']",4,"English Excellent (C1, C2) And French Fair (A2)   ",6,10,2023-01-02,2023-03-17,,,,,"To work in clinic as under veterinary internship program , to apply theoretical knowledge and gain hands-on experience including all Veterinary Technician
duties under a supervising licensed veterinarian.",2176 CAD Monthly,"7.0 daily, 34.0 weekly",Walkers Line Veterinary Hospital Department: Veterinary clinic,Walkers Line Veterinary Hospital,www.walkerslinevet.com,Trainee,2200 CAD Monthly,1000 CAD Monthly,Nominees must be 18 - 35 years of age and be nationals from either a country with a Youth Mobility Agreement (YMA) with Canada or from an IAESTE member country.<br><br>Two 6-week internships are available.,COBE,-73.212906,44.4761601
CA-2023-000020,2022-10-07,Calgary,Canada,['OTHER'],[''],['Must have sat and passed the BCSE (Basic and Clinical Sciences Exam) and the NAVLE (North American Veterinary Licensing Exam).'],[''],4,"English Excellent (C1, C2)      ",40,52,2023-04-03,2024-04-02,,,,,"Supervise animal health technologists and animal care workers, Enforce government regulations in disease control and food production including animal or animal-based food inspection, Responsible for overall operation of animal hospital, clinic or mobile service to farms, Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests, Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery, Vaccinate animals to prevent and treat diseases, Advise clients on feeding, housing, behavior, breeding, hygiene and general care of animals, Perform routine, emergency and post-mortem examinations, Provide a range of veterinary services including obstetrics, dentistry and euthanasia",6000 CAD Monthly,"8.0 daily, 40.0 weekly",Mosaic Veterinary Partners Department: Human Resources,Multiple locations,www.mosaicvet.com,Trainee,1500 CAD Monthly,900 CAD Monthly,Must have sat and passed the BCSE (Basic and Clinical Sciences Exam) and the NAVLE (North American Veterinary Licensing Exam) OR provide a certificate of qualification from CVMA/NEB (Canadian Veterinary Medical Association / National Examining Board). <br><br>Multiple clinic practices available in rural northern areas of two western provinces of Alberta and Saskatchewan.<br><br>Nominees must be between 18 - 35 years of age and nationals from an IAESTE member country or from a country that has a Youth Mobility Agreement (YMA) with Canada.,COBE,-114.065465,51.0460954
CH-2023-000200,2022-09-30,Zurich,Switzerland,"['04-ARCHITECTURE, OTHER']",[''],"['Knowledge of AutoCAD, Adobe and MS Office important as well as handsketching']","['Knowledge of AutoCAD,Adobe  and MS Office important as well as handsketching Need of Portfolio (with hand drawings, model construction, project work, ...)   ']",3,"English Good (B1, B2) And German Fair (A2)   ",26,52,2022-10-01,2023-12-31,,,,,"The company is a leading, Zurich based, architectural lighting design company with a wide portfolio of international projects. For their team of professional lighting designers and interior architects they are currently looking for an INTERN to join the office . Ideally, you should be enthusiastic about all things concerning light. Apart from fluent English, a basic knowledge of German is required as well. 
Tasks: 
- Drawing support (CAD) in Lighting Design for Project Manager 
- Assisting in creating presentations using graphics programs 
- Assemble Specification sheets for lightings 
- Producing of sketches and plans (Grey) 
- Implementation of drafts (for example for competitions) 

ATTENTION: Employer only looks for students enrolled in specific study program &quot;Architectural Lightning Design&quot;. 
The following universities offer such a Master, but they are open for others with education in the specific field of lightning design (also worldwide):
1. Sweden: KTH Stockholm: - 1/2 Year MSc in Architectural Lightning Design (&;Health) 
2. Germany: HS Wismar: 2 Year Master MA: Architectural Lightning Design 
3. England: University College of London: 1 year Full-Time MSc in Light and Lightning 4. MSc Madrid IED, Lighting Design",2450 CHF Monthly,"8.5 daily, 42.5 weekly",Lichtkompetenz GmbH Department: -,Zürich,www.lichtkompetenz.com,IAESTE LC Zurich,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",FCFS,8.5410422,47.3744489
CH-2023-000201,2022-10-02,Bern,Switzerland,['11-COMPUTER AND INFORMATION SCIENCES'],['11.0701-Computer Science.'],"['Finished Bachelor degree', 'Good knowledge in C++ and Python']","['Motivation for medical device industry and technologies', 'Personality: proactive, self-motivated, creative']",3,"English Excellent (C1, C2)      ",40,52,2022-11-01,2023-12-31,No,,No,,"CASCINATION is a Swiss medical device company with a mission to bring certainty to medical treatment outcomes. Our robotic and image-guided solutions enable clinicians to perform reproducible and efficient interventions, that deliver quality outcomes from minimally invasive therapies across a range of disciplines from cancer treatment to the treatment of hearing disorders.

The intern will contribute to medical device software development.",2000 CHF Monthly,"8.5 daily, 42.5 weekly",CASCINATION AG Department: -,Bern,www.cascination.com,IAESTE LC Bern,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need to provide an official letter from their university, confirming that the traineeship is compulsory (IAESTE Switzerland will apply for visa and work permit)",COBE,7.4514512,46.9482713
CH-2023-000203,2022-10-02,Zürich,Switzerland,['11-COMPUTER AND INFORMATION SCIENCES'],"['11.0202-Computer Programming, Specific Applications.']",['-'],['Your are proficient in English'],2,"English Good (B1, B2)      ",52,52,2022-11-01,2023-12-31,No,,No,,"Software Developer: 
Development and implementation of interfaces between different IT systems.  After analysation of the processes you will define and realise the interfacing solutions. 

Expectation:  
- analytical and structured thinking capabilities 
- independent way of working 
- ability to successively identify relationships in complex situations and make and implement the right decisions. 
- teamplayer 

You are familiar with: 
programming languages: Java / J2EE  
SQL databases: Oracle and MS SQL  
XML / XSLT  , Webservices  
Reporting- and Business Intelligence tools like Jasper or Pentaho  

Salary: minimum is CHF 2250.- and  depending on study level and performance may rise up during internship by over 50%",2250 CHF Monthly,"8.5 daily, 42.5 weekly",A.I.A. GmbH Department: -,Zurich,http://www.aia.ch,IAESTE LC Zurich,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need to provide an official letter from their university, confirming that the traineeship is compulsory (IAESTE Switzerland will apply for visa and work permit)",COBE,8.5410422,47.3744489
CH-2023-000207,2022-10-09,Basel,Switzerland,['04-ARCHITECTURE'],['04.0201-Architecture.'],"['Good knowledge of CAD (AutoCad) and the usual programs for visualization. Knowledge of Revit is a huge plus, depending on the project it might be necessary to work with. Student must have practical work experience within an architecture office.', 'Internal company rules do not allow to consider Master graduates.']",[''],2.5,"English Good (B1, B2)      ",26,26,2023-03-01,2023-09-30,No,,No,,"The architecture office is one of Switzerland&#39;s leading architectural and general planning practices.
The intern will work on one of our current projects and competitions

Portfolio in PDF required. SIZE NOT MORE THAN 12 MB TOGETHER WITH THE APPLICATION DOSSIER.",2500 CHF Monthly,"8.4 daily, 42.0 weekly",Burckhardt+Partner AG Department: -,Basel,http://www.burckhardtpartner.ch,IAESTE LC Basel,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",COBE,7.5878261,47.5581077
CH-2023-000208,2022-09-30,Glattbrugg,Switzerland,['14D-MECHANICAL ENGINEERING'],"['14.4201-Mechatronics, Robotics, and Automation Engineering.']","['- End of Bachelor or Master; Mechanical / Electromechanical background; automation, industrial systems.', '- Hands-on experience in machine assembly and maintenance. ', '- Professional experience in maintenance of industrial or laboratory equipment. ', '- Understanding of mechanical drawings and specifications for assemblies and components, basic electrical diagrams, wiring diagrams, and schematics.']","['- Ability to take on several tasks in parallel, proactive and problem solving.', '- Great technical versatility, availability, autonomy and entrepreneurial spirit.', '- Willingness to work in a highly dynamic, entrepreneurial, and demanding environment. ', '- Customer oriented and capability to understand different customer needs. ', '- Only EU/EFTA passport holders']",2,"English Excellent (C1, C2)      ",26,52,2022-10-01,2023-12-31,,,,,"As a Mechatronics Technician Intern you are ready to provide assembly and testing of laboratory robotic products, installation and maintenance of company instruments at customer sites worldwide and remote troubleshooting. While onsite you are contributing to the management of the infrastructure, the logistic and the procurement of components and facility goods. 
Join us to be part of a fast-growing company and, most importantly, to work in a fun environment. 
- Installation, tuning, testing and Site Acceptance Test of instruments in-house and at the customer site. 
- Preventive and corrective maintenance of instruments in-house and at the customer site. 
- Factory Acceptance Test, including quality control, of company instruments before shipment. 
- Remote troubleshooting in collaboration with external partners. 
- Understanding of software development environments and software deployment. 
- Shopfloor management support: 5S system, equipment, infrastructure. 
- Support the sales team for demo activities in-house and abroad. 
- Support the procurement and logistics functions. 
- Inventory management of technical and non-technical goods. 
- The position requires availability to travel about 50%.

Start date depends on availability of accommodation.

Candidates with longer stay preferred.",3250 CHF Monthly,"8.0 daily, 40.0 weekly",QualySense AG Department: -,Glattbrugg,www.qualysense.com,IAESTE LC Zurich,1600 CHF Monthly,750 CHF Monthly,Only EU/EFTA passport holders,COBE,8.5647892,47.4326312
CH-2023-000209,2022-10-05,Basel,Switzerland,['04-ARCHITECTURE'],['04.0201-Architecture.'],"['Good knowledge of CAD (AutoCad) and the usual programs for visualization. Knowledge of Revit is a huge plus, depending on the project it might be necessary to work with. Student must have practical work experience within an architecture office.', 'Internal company rules do not allow to consider Master graduates.']",['EU/EFTA passport required due to soon start (no time for visa process)'],2.5,"English Good (B1, B2)      ",26,26,2022-11-01,2023-04-30,No,,No,,"The architecture office is one of Switzerland&#39;s leading architectural and general planning practices.
The intern will work on one of our current projects and competitions

Portfolio in PDF required. SIZE NOT MORE THAN 12 MB TOGETHER WITH THE APPLICATION DOSSIER.",2500 CHF Monthly,"8.4 daily, 42.0 weekly",Burckhardt+Partner AG Department: -,Basel,http://www.burckhardtpartner.ch,IAESTE LC Basel,1600 CHF Monthly,750 CHF Monthly,EU/EFTA passport required due to soon start (no time for visa process),COBE,7.5878261,47.5581077
