RefNo,Deadline,City,Country,GeneralDisciplines,FieldsOfStudy,RequiredKnowledgeAndExperiences,OtherRequirements,CompletedYearsOfStudy,LanguageRequirements,WorkWeeksMin,WorkWeeksMax,From,To,AlternativeFrom,AlternativeTo,CompanyClosedFrom,CompanyClosedTo,WorkOfferedDescription,GrossPay,WorkingHours,Employer,Workplace,Website,Lodgingby,LivingCost,EstCostofLodging,AdditionalInfo,OfferType,Longitude,Latitude
CH-2023-000211,2022-09-26,Schlieren,Switzerland,"['11-COMPUTER AND INFORMATION SCIENCES, 14C-ELECTRICAL AND ELECTRONICS ENGINEERING, 14D-MECHANICAL ENGINEERING']","['14.XX02-Embedded Systems., 14.4201-Mechatronics, Robotics, and Automation Engineering.']","['Electrical / Electronics engineering background. Mechatronics and Computer sciences with electronics knowledge can be also good.', 'Python (or other scripting languages) are a plus.']","['Education/Experience with electrical circuits and/or embedded systems is a plus.', 'Previous practical Training is a plus.', 'EU/EFTA passport']",3.5,"English Good (B1, B2)      ",52,52,2022-10-01,2024-02-01,No,,No,,"Work in the Hardware R&;D team

Area of work
•Home Automation Systems
•Power Line Communication

Job description
Hardware development and verification
  •Support design team by hands on debugging &; bring-up of new hardware
  •Hardware development including layout, schematics, verification, and certification tasks
  •Hardware testing and problem solving
  •Schematic and Layout design with EDA tools (e.g. Altium)
  •Analog simulation with Spice

Software / Bonus skills are a plus for:
  •Support hardware characterization through the development of simple FW code (C++).
  •Testing using Python.
  •Create and execute manual and automated tests.
  •Configure and update hardware devices used for testing.",3500 CHF Monthly,"8.2 daily, 42.0 weekly",digitalSTROM AG Department: -,Schlieren,http:\\www.digitalstrom.com,IAESTE LC Zurich,1600 CHF Monthly,750 CHF Monthly,only for students with EU/EFTA passport,COBE,8.4444861,47.3965147
CH-2023-000212,2022-09-26,Basel,Switzerland,['04-ARCHITECTURE'],[''],"['- 3D visualisations on a professional level ', '- Basis program AutoCad', '- Practical experience required in architecture office(s)']",['- Preferrable during or after Master degree'],3,"English Good (B1, B2) And German Good (B1, B2)   ",26,52,2022-10-01,2024-02-01,,,,,"Join us in the culture capital Basel with its internationally reknown buildings and architecture offices. This is a smaller architecture office. So the offer fits to a person who has worked in architecture office(s) before and can take responsibility for ongoing projects. You might also get to interact with customers. This is why good German skills are required.

Tasks: Architectural design

Requirements
- Professional level in 3D-modeling
- Experienced in AutoCad
- Excellent design skills

Salary depends on skills, minimum CHF 2000.-/month",2000 CHF Monthly,"8.4 daily, 42.0 weekly","Kunz Architekten AG, dipl. Arch ETH/ SIA/ FH Department: -",Basel,kunz-architects.ch,IAESTE LC Basel,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",COBE,7.5878261,47.5581077
CH-2023-000213,2022-09-27,Winterthur,Switzerland,['11-COMPUTER AND INFORMATION SCIENCES'],['11.0102-Artificial Intelligence.'],"['capability and desire for research ', 'good command of programming', 'good understanding of deep learning']",[''],3.5,"English Good (B1, B2) Or German Good (B1, B2)   ",26,52,2022-10-01,2023-12-31,,,,,"The ZHAW Centre for Artificial Intelligence (CAI) is a hub for excellence in applied AI research and application. Our mission is to advance human-centric and trustworthy AI research in Switzerland, thereby providing students with career opportunities in the AI sector, attracting young talent and addressing the great challenges of our time through innovative use of AI. We believe in the power of interdisciplinary collaboration and engaging in dialogue with the research community, with our students, and with our industry partners. 

The Computer Vision, Perception &; Cognition Group (CVPC) conducts pattern recognition research, working on a wide variety of tasks relating to image, audio, and signal data per se. We focus on deep neural network and reinforcement learning methodology, inspired by biological learning. Each task we study has its own learning target (e.g., detection, classification, clustering, segmentation, novelty detection, control) and corresponding use case (e.g., predictive maintenance, speaker recognition for multimedia indexing, document analysis, optical music recognition, computer vision for industrial quality control, automated machine learning, deep reinforcement learning for automated game play or building control), which in turn sheds light on different aspects of the learning process. We use this experience to create increasingly general AI systems built on neural architectures. The university offers a competitive, technically stimulating, and exciting environment where you will have the opportunity to work with researchers and industrial partners. As an applied university, the research group is combining excellent research with industrial projects, to transfer research solutions to enterprise contexts. Find more information here: https://www.zhaw.ch/en/engineering/institutes-centres/cai/computer-vision-perception-and-cognition-group/

Salary depends on your degree: Non-Bachelor CHF 2050.-/month, Bachelor CHF 2550.-/month

Starts in 2022 preferred.",2050 CHF Monthly,"8.4 daily, 42.0 weekly",ZHAW - Zurich University of Applied Sciences Department: Centre for Artificial Intelligence CAI,Winterthur,https://www.zhaw.ch/de/engineering/institute-zentren/cai/,IAESTE LC Zurich,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",COBE,8.7291498,47.4991723
CH-2023-000215,2022-10-02,Basel,Switzerland,"['14A-ENGINEERING, Other, 14C-ELECTRICAL AND ELECTRONICS ENGINEERING, 40B-PHYSICS']",['14.0501-Bioengineering and Biomedical Engineering.'],"['• Educational background in engineering or physics (e.g. biomedical engineering,', 'electrical engineering) OR previous experience as test engineer', '• Strong analytical skills', '• Strong communication skills both verbally and in writing', '• Organized, reliable, attentive to details', '• Critical thinking', '• Courage to go new ways combined with risk awareness and mitigation', '• EU/EFTA passport holder']","['Nice to Have', '• Experience in AFM operation', '• Familiar with optics and handling laser equipment', '• Ability to formulate complex technical content in an understandable way and', 'according to regulatory guidance', '• Experience in Linux operating system', '• Familiar with github handling']",2,"English Good (B1, B2)      ",26,52,2022-11-01,2024-03-01,,,,,"ARTIDIS AG is a clinical-stage health-tech start-up founded in Basel, Switzerland that has developed the first nanomechanical biomarker for cancer diagnosis and treatment optimization. The ARTIDIS nanotechnology platform integrates different types of clinical data into the ARTIDISNET digital platform, allowing physicians to significantly shorten the current diagnostic process and benefit both the patient and the healthcare system. ARTIDIS enables professionals to design personalized cancer treatment plans tailored to individual patients&#39; needs and desired outcomes.

Test Engineer Intern at R&;D
This internship aims to verify and validate the software and hardware of the ARTIDIS medical device which is based on the atomic force microscopy technique. The intern assures functionality and reliability of developed software and hardware. The position involves the execution of test protocols and the creation of test records and is responsible for communicating the test results with the product owner. Further, the position includes support in writing test protocols for the device.

Duties and Responsibilities
• Reviews and creates test protocols for the medical device
• Executes the tests to verify and validate the medical device
• Writes technical and scientific reports

Working Conditions
The environment is a typical start-up with an intrinsically motivated international team. Our company is an excellent place for rapid advancement and offers a promising opportunity to learn and share know-how in a very agile environment. The position requires the employee to go the extra mile when needed. We are looking for a team player who appreciates direct communication. The effort is rewarded with challenging tasks, the possibility to take responsibility, a highly driven team and work serving a significant purpose.

Soon starts preferred.",2000 CHF Monthly,"8.4 daily, 42.0 weekly",ARTIDIS AG Department: -,Basel,www.artidis.com,IAESTE LC Basel,1600 CHF Monthly,750 CHF Monthly,Only EU/EFTA passport holders can apply for this internship,COBE,7.5878261,47.5581077
CH-2023-000216,2022-10-02,Luzern,Switzerland,['04-ARCHITECTURE'],[''],['Knowledge in Vectorworks a plus'],[''],2,"German Good (B1, B2)      ",40,52,2022-10-01,2024-03-01,,,,,"An an intern you will get an insight in various aspects of our architecture office, to name a few:
- participation in competitions and studies
- design work
- architectural and constructive design
- detail construction
- models building 

The German language skills should be approximately on the level B1, but we can also imagine an A2 (in combination with an intensive course before/from the start). Since we always work in a team, language skills are important.

The office is working with Vectorworks. If you have no knowledge, you will attend in the beginning of the internship a course to learn about it.

Soon starts preferred.",2200 CHF Monthly,"8.4 daily, 42.0 weekly",Luescher Bucher Theiler Architekten gmbh Department: -,Luzern,www.lbta.c,Employer,1600 CHF Monthly,750 CHF Monthly,"Students with any NON-EU/EFTA nationality need for the visa and work permit an official letter from their university, confirming that the internship is compulsory (IAESTE Switzerland will apply for them).",COBE,8.3054682,47.0505452
CH-2023-000217,2022-10-10,Schinznach-Dorf,Switzerland,['01-AGRICULTURE AND FOOD SCIENCE'],"['01.0601-Applied Horticulture/Horticulture Operations, General.']","['Good physical condition required.', 'Knowhow in Horticulture']",[''],2,"English Good (B1, B2)      ",40,48,2023-03-01,2024-02-29,No,,No,,"Manual work in horticulture with ornametal plants, fruit trees, berries and perennials.",2426 CHF Monthly,"8.4 daily, 42.0 weekly",Zulauf AG Department: Produktion,Schinznach-Dorf,http://www.zulaufquelle.ch,Employer,1200 CHF Monthly,420 CHF Monthly,"Students with any NON-EU/EFTA nationality need to provide an official letter from their university, confirming that the traineeship is compulsory (IAESTE Switzerland will apply for visa and work permit)",COBE,8.1422836,47.4467994
SE-2023-5-VOL,2023-03-15,Göteborg,Sweden,"['11-COMPUTER AND INFORMATION SCIENCES, 14C-ELECTRICAL AND ELECTRONICS ENGINEERING, 40B-PHYSICS']",[''],"['Knowledge about Fluid Mechanics is meritorious.', 'Skills in python programming is meritorious.']",[''],3,"English Excellent (C1, C2)      ",48,48,2023-01-09,2023-12-22,No,,No,,"The Thermal Efficiency team at Volvo cars&#39; Sustainability Centre works with complete vehicle testing in the climatic wind tunnels and CFD simulations of vehicle systems to find ways of optimizing systems and save energy. The Volvo Car strategy to increase the amount of pure electric cars has made it even more important to find ways of increasing the range a vehicle can travel on as little energy as possible, our aim at thermal efficiency is to reduce all energy waste with a focus on thermal losses. 

The scope of this IAESTE internship is to investigate possible optimizations of vehicle systems and to come up with possible solutions for the optimizations, both in the aspect of software as well as hardware updates. The areas to investigate are predefined but it is appreciated if the intern will also come with own ideas of improvement. The suggested optimization possibilities will be verified by simulations and if possible, also by complete vehicle verification in the wind tunnel. The aim of this internship is to have investigated all predefined optimization areas and by presented possible solutions helped Volvo Cars reduce the energy losses and improved the range of future electrical vehicles.",20800 SEK Monthly,"8.0 daily, 40.0 weekly",Volvo Car Corporation,"Torslanda, Gothenburg",http://www.volvocars.com,IAESTE LC Göteborg,10000 SEK Monthly,5000 SEK Monthly,,COBE,11.9670171,57.7072326
SE-2023-6-ALA,2022-10-05,Stockholm,Sweden,['11-COMPUTER AND INFORMATION SCIENCES'],"['11.0201-Computer Programming/Programmer, General., 11.0701-Computer Science., 11.0899-Computer Software and Media Applications, Other.']","['What you will need', 'The 2 technologies you will need solid experience with are Angular and Python. Supporting technologies that you should be familiar with are MySQL and NoSQL (we use Elastic and Mongo, but any NoSQL experience is good).', 'Cloud computing experience will be helpful. We run our infrastructure on the Google Cloud Platform but any cloud background is useful (AWS, Azure etc..)', 'Additional specific technologies we use include: Redis, Airflow, Docker, Python Scrapy, and good old Bash.']","['Who you are:', 'You are social, not afraid to be hands-on and capable of taking tasks or projects from initiation to completion.', 'You are responsive and part of the team regardless of your immediate workload.', 'You understand the symbiosis of data and software. You are not afraid of databases.', 'You have a client-first, team-first mentality. Everything else is secondary.', 'Ideally, you have some years of experience in data driven projects.']",2,"English Excellent (C1, C2)      ",12,78,2022-10-10,2024-04-30,,,,,"Python Angular Developer

- The role in a nutshell
As a frontend enthusiast you will be working on both major UX upgrades and small aesthetic tweaks. Responsiveness, widgets, gamification and theming are on our roadmap. As a member of a lean startup development team you will also have the opportunity to help deliver backend changes - especially those that affect the frontend.  

- Why you should apply for this role
We have a unique opening for the right candidate. 16 years of experience gives us the edge of an industry leader while launching a ground-breaking technology in the Insurtech industry lets us be as flexible as a startup. If you are keen on supporting and improving an ongoing, live project while designing and developing features to grow the business, this opportunity could be for you. 

- What you will be working on
Data! Our project is data born, data driven and its success is defined by data quality. Regardless of whether you are redesigning a form, overhauling the reports system or removing redundant code you will ultimately be working with data. This role will primarily be improving and developing our standalone application frontend that demonstrates what our REST API is capable of doing. 

- Who you will be working with
We are a small team with colleagues from most continents. We are a wide blend of skills, experience and cultures. We welcome all nationalities and backgrounds - provided that you are legally employable in Sweden. English is our company language.
Depending on the specific tasks being performed, you could be working solo or in a 2-3 member team.   

- What we are looking for
Operating as a startup, you will have a lot of room to grow. While technical skills are important to be able to do the work, we are very interested in who you are as an individual. Teamworking skills, communication, and the ability to think objectively are important to us.
We value flexibility. There are many ways to get work done - We are building a team that can come together to achieve goals.
Having worked with Online Shopping / eCommerce / Price Comparison sites or data driven consumer services will give you a strong advantage.",15000 SEK Monthly,"8.0 daily, 40.0 weekly",International Consumer Services Sweden AB,Remote/Stockholm,https://alatest.com/,LC Stockholm,10000 SEK Monthly,5000 SEK Monthly,"Internship Phase I: 3 months <br>1.	Selected applicants receive a 3 month contract and begin remote work immediately<br>2.	Interns attend the 9 A.M. daily standups with the Stockholm team by video chat<br>3.	ICSS may choose to extend the contract, otherwise the internship concludes here<br><br>Internship Phase II: 3 months<br>4.	Extended applicants receive a new 3 month contract and are given more substantial tasks<br>5.	The opportunity for a 6 month extension as an intern and a 1 year entry level contract in Sweden are discussed with clear achievement requirements<br>6.	ICSS has the final decision in extended the contract, otherwise the internship concludes here<br><br>Internship Phase III: 8 months - 12 months<br>7.	During this phase ICSS may choose to officially engage the candidate as a fulltime interned employee.<br><br>Fixed Employment<br>8.	 When the candidate has completed the combined 14 months of internship, they will begin their fixed employment as a regular member of the team.",COBE,18.0710935,59.3251172
SE-2023-7-ALA,2022-10-05,Stockholm,Sweden,['11-COMPUTER AND INFORMATION SCIENCES'],"['11.0201-Computer Programming/Programmer, General., 11.0701-Computer Science., 11.0899-Computer Software and Media Applications, Other.']","['Our only hard requirement is some experience in systems and cloud administration (Ubuntu Linux, bash, git, networking, routing, DNS, MySQL database etc..).... the rest can be learned on the job.']","['If you are:', '- a coder', '- MacGyver', '- into devops', '- interested in databases', '- able to decipher unmaintained documentation', '- comfortable with Linux and sysadmin', '- happy with faster pace of work', '- anxious to see your work in production', '- curious why things are a certain way', '- good at automating things', '- looking for a cool job', '- someone who likes Huskies', '', '...get in touch. We have a job for you!']",2,"English Excellent (C1, C2)      ",12,78,2022-10-10,2024-04-30,,,,,"Devops / Sysadmin / Coder

●	Task 1: a running Solr core (version 4.9) has stopped replication from master and needs to be restarted
●	Task 2: automate onboarding a new client using Terraform (in Google cloud)
●	Task 3: you have a log file (without timestamps) that gives you an ambiguous error that you need to hunt down

This is part of what we need you for: Keeping our systems running and enacting modernization. Legacy microservices, the latest in cloud tools, aging Java, shiny Python 3 - a walk down history lane plus a step into the future - every day.

The other part we need you for is helping design, provision and maintain our fully cloud-based VaueChecker infrastructure that runs our game-changing Insuretech product. 

We were founded in 2005 as the pioneer of the Product Reviews aggregation and analysis sector. We collect, structure, match, analyze, present and syndicate product and review data, globally.
Our current main venture ValueChecker is an InsurTech service that helps Insurance companies and claims handlers quickly and accurately determine the fair compensation values of damaged or stolen products and their immediate availability and price.",15000 SEK Monthly,"8.0 daily, 40.0 weekly",International Consumer Services Sweden AB,Remote/Stockholm,https://alatest.com/,LC Stockholm,10000 SEK Monthly,5000 SEK Monthly,"Internship Phase I: 3 months <br>1.	Selected applicants receive a 3 month contract and begin remote work immediately<br>2.	Interns attend the 9 A.M. daily standups with the Stockholm team by video chat<br>3.	ICSS may choose to extend the contract, otherwise the internship concludes here<br><br>Internship Phase II: 3 months<br>4.	Extended applicants receive a new 3 month contract and are given more substantial tasks<br>5.	The opportunity for a 6 month extension as an intern and a 1 year entry level contract in Sweden are discussed with clear achievement requirements<br>6.	ICSS has the final decision in extended the contract, otherwise the internship concludes here<br><br>Internship Phase III: 8 months - 12 months<br>7.	During this phase ICSS may choose to officially engage the candidate as a fulltime interned employee.<br><br>Fixed Employment<br>8.	 When the candidate has completed the combined 14 months of internship, they will begin their fixed employment as a regular member of the team.",COBE,18.0710935,59.3251172
